file_name,type,n_semitones,rate,preset,hpss,y_id,y,preset_id
Media-103715_30_hpss,Samba,-2.0,0.7071067811865476,radio,1,6,VienneseWaltz,4
Media-103715_30,Samba,-2.0,0.7071067811865476,radio,0,6,VienneseWaltz,4
Media-103715_50_hpss,Samba,1.0,0.7071067811865476,film light,1,7,Waltz,0
Media-103715_50,Samba,1.0,0.7071067811865476,film light,0,5,Tango,0
Media-103715_70_hpss,Samba,-1.0,1.0,music light,1,7,Waltz,2
Media-103715_70,Samba,-1.0,1.0,music light,0,6,VienneseWaltz,2
Media-103715_126_hpss,Samba,-1.0,2.0,radio,1,6,VienneseWaltz,4
Media-103715_126,Samba,-1.0,2.0,radio,0,2,Quickstep,4
Media-103715_74_hpss,Samba,0.0,1.0,film light,1,5,Tango,0
Media-103715_74,Samba,0.0,1.0,film light,0,2,Quickstep,0
Media-103715_107_hpss,Samba,0.0,1.4142135623730951,speech,1,5,Tango,5
Media-103715_107,Samba,0.0,1.4142135623730951,speech,0,2,Quickstep,5
Media-103715_07_hpss,Samba,-1.0,0.5,film standard,1,7,Waltz,1
Media-103715_07,Samba,-1.0,0.5,film standard,0,5,Tango,1
Media-103715_103_hpss,Samba,0.0,1.4142135623730951,film standard,1,5,Tango,1
Media-103715_103,Samba,0.0,1.4142135623730951,film standard,0,2,Quickstep,1
Media-103715_18_hpss,Samba,1.0,0.5,radio,1,6,VienneseWaltz,4
Media-103715_18,Samba,1.0,0.5,radio,0,6,VienneseWaltz,4
Media-103715_45_hpss,Samba,0.0,0.7071067811865476,music standard,1,7,Waltz,3
Media-103715_45,Samba,0.0,0.7071067811865476,music standard,0,6,VienneseWaltz,3
Media-103715_119_hpss,Samba,2.0,1.4142135623730951,speech,1,5,Tango,5
Media-103715_119,Samba,2.0,1.4142135623730951,speech,0,2,Quickstep,5
Media-103715_44_hpss,Samba,0.0,0.7071067811865476,film light,1,7,Waltz,0
Media-103715_44,Samba,0.0,0.7071067811865476,film light,0,6,VienneseWaltz,0
Media-103715_100_hpss,Samba,-1.0,1.4142135623730951,music light,1,7,Waltz,2
Media-103715_100,Samba,-1.0,1.4142135623730951,music light,0,5,Tango,2
Media-103715_60_hpss,Samba,-2.0,1.0,radio,1,6,VienneseWaltz,4
Media-103715_60,Samba,-2.0,1.0,radio,0,6,VienneseWaltz,4
Media-103715_104_hpss,Samba,0.0,1.4142135623730951,film light,1,5,Tango,0
Media-103715_104,Samba,0.0,1.4142135623730951,film light,0,2,Quickstep,0
Media-103715_143_hpss,Samba,1.0,2.0,speech,1,5,Tango,5
Media-103715_143,Samba,1.0,2.0,speech,0,2,Quickstep,5
Media-103715_38_hpss,Samba,-1.0,0.7071067811865476,film light,1,7,Waltz,0
Media-103715_38,Samba,-1.0,0.7071067811865476,film light,0,5,Tango,0
Media-103715_114_hpss,Samba,2.0,1.4142135623730951,radio,1,6,VienneseWaltz,4
Media-103715_114,Samba,2.0,1.4142135623730951,radio,0,2,Quickstep,4
Media-103715_109_hpss,Samba,1.0,1.4142135623730951,film standard,1,5,Tango,1
Media-103715_109,Samba,1.0,1.4142135623730951,film standard,0,2,Quickstep,1
Media-103715_62_hpss,Samba,-2.0,1.0,film light,1,7,Waltz,0
Media-103715_62,Samba,-2.0,1.0,film light,0,2,Quickstep,0
Media-103715_102_hpss,Samba,0.0,1.4142135623730951,radio,1,6,VienneseWaltz,4
Media-103715_102,Samba,0.0,1.4142135623730951,radio,0,2,Quickstep,4
Media-103715_147_hpss,Samba,2.0,2.0,music standard,1,2,Quickstep,3
Media-103715_147,Samba,2.0,2.0,music standard,0,2,Quickstep,3
Media-103715_141_hpss,Samba,1.0,2.0,music standard,1,5,Tango,3
Media-103715_141,Samba,1.0,2.0,music standard,0,2,Quickstep,3
Media-103715_72_hpss,Samba,0.0,1.0,radio,1,6,VienneseWaltz,4
Media-103715_72,Samba,0.0,1.0,radio,0,6,VienneseWaltz,4
Media-103715_90_hpss,Samba,-2.0,1.4142135623730951,radio,1,6,VienneseWaltz,4
Media-103715_90,Samba,-2.0,1.4142135623730951,radio,0,2,Quickstep,4
Media-103715_115_hpss,Samba,2.0,1.4142135623730951,film standard,1,5,Tango,1
Media-103715_115,Samba,2.0,1.4142135623730951,film standard,0,2,Quickstep,1
Media-103715_10_hpss,Samba,-1.0,0.5,music light,1,7,Waltz,2
Media-103715_10,Samba,-1.0,0.5,music light,0,6,VienneseWaltz,2
Media-103715_66_hpss,Samba,-1.0,1.0,radio,1,6,VienneseWaltz,4
Media-103715_66,Samba,-1.0,1.0,radio,0,6,VienneseWaltz,4
Media-103715_08_hpss,Samba,-1.0,0.5,film light,1,7,Waltz,0
Media-103715_08,Samba,-1.0,0.5,film light,0,5,Tango,0
Media-103715_40_hpss,Samba,-1.0,0.7071067811865476,music light,1,7,Waltz,2
Media-103715_40,Samba,-1.0,0.7071067811865476,music light,0,5,Tango,2
Media-103715_136_hpss,Samba,0.0,2.0,music light,1,7,Waltz,2
Media-103715_136,Samba,0.0,2.0,music light,0,2,Quickstep,2
Media-103715_13_hpss,Samba,0.0,0.5,film standard,1,7,Waltz,1
Media-103715_13,Samba,0.0,0.5,film standard,0,7,Waltz,1
Media-103715_139_hpss,Samba,1.0,2.0,film standard,1,5,Tango,1
Media-103715_139,Samba,1.0,2.0,film standard,0,2,Quickstep,1
Media-103715_54_hpss,Samba,2.0,0.7071067811865476,radio,1,6,VienneseWaltz,4
Media-103715_54,Samba,2.0,0.7071067811865476,radio,0,5,Tango,4
Media-103715_111_hpss,Samba,1.0,1.4142135623730951,music standard,1,5,Tango,3
Media-103715_111,Samba,1.0,1.4142135623730951,music standard,0,2,Quickstep,3
